monotonic_s,running_reqs_sum,queue_reqs_sum,gen_throughput_sum,decode_sum_seq_lens_sum,num_servers_sampled
244.4,844.0,440.0,3789.5383023869044,1522011.0,8
244.5,845.0,439.0,3789.5383023869044,1522011.0,8
244.6,847.0,440.0,3789.5383023869044,1522011.0,8
244.7,842.0,439.0,3465.488440778045,1525035.0,8
244.8,842.0,439.0,3465.488440778045,1525035.0,8
244.9,840.0,438.0,3465.488440778045,1525035.0,8
245.0,840.0,438.0,3465.488440778045,1525035.0,8
245.1,841.0,439.0,3465.488440778045,1525035.0,8
245.2,834.0,439.0,3296.6205770926626,1523578.0,8
245.3,831.0,437.0,2943.6253476182264,1515009.0,8
245.4,840.0,441.0,2770.896457289682,1516701.0,8
245.5,836.0,437.0,2770.896457289682,1516701.0,8
245.6,836.0,437.0,2770.896457289682,1516701.0,8
245.7,834.0,437.0,2770.896457289682,1516701.0,8
245.8,834.0,437.0,2770.896457289682,1516701.0,8
245.9,836.0,440.0,2770.896457289682,1516701.0,8
246.0,831.0,438.0,2770.896457289682,1516701.0,8
246.1,830.0,439.0,2770.896457289682,1516701.0,8
246.2,828.0,435.0,2770.896457289682,1516701.0,8
246.3,828.0,435.0,2770.896457289682,1516701.0,8
246.4,831.0,439.0,2770.896457289682,1516701.0,8
246.5,829.0,440.0,2770.896457289682,1516701.0,8
246.6,829.0,439.0,2770.896457289682,1516701.0,8
246.7,826.0,434.0,2770.896457289682,1516701.0,8
246.8,835.0,438.0,2770.896457289682,1516701.0,8
246.9,834.0,437.0,2770.896457289682,1516701.0,8
247.0,827.0,434.0,2770.896457289682,1516701.0,8
247.1,830.0,436.0,2770.896457289682,1516701.0,8
247.2,830.0,436.0,2770.896457289682,1516701.0,8
247.3,837.0,437.0,2770.896457289682,1516701.0,8
247.4,846.0,441.0,2606.514954337171,1520474.0,8
247.5,842.0,443.0,2606.514954337171,1520474.0,8
247.6,833.0,442.0,2606.514954337171,1520474.0,8
247.7,833.0,442.0,2606.514954337171,1520474.0,8
247.8,832.0,441.0,2606.514954337171,1520474.0,8
247.9,822.0,442.0,2606.514954337171,1520474.0,8
248.0,820.0,443.0,2606.514954337171,1520474.0,8
248.1,820.0,443.0,2606.514954337171,1520474.0,8
248.2,817.0,439.0,2606.514954337171,1520474.0,8
